%ACTION_TABLE%
State,INTEGER,FUNCTION,COMPARISON_OPERATOR,WHILE,SPACE_EMPTY,ELSE,CHAR,FOR,FLOAT,EQUALS,SEMICOLON,BOOL_VALUE,BREAK,IF,TYPE,VARNAME,COLON,BOOLEAN,NOT_OPERATOR,LOGICAL_OPERATOR,$,or,CONTINUE,*,+,COMMA,(,),/,RETURN,and,-,VOID,SINGLE_OPERATOR,},{,STRING,TERM,T_TERM,FOR_BODY,STMT,FUN_ARG,CALL_EXPR,FUNCTION_PARAM_TERM,F_TERM,IFELSE_BODY,ELSE_STMT_TERM,D_TERM,STATEMENT_LIST,S,VALUE,ASSIGN_STMT,FOR_DECL,LOGICAL_EXPR,FUNCTION_ARGS,WHILE_DECL,FOR_STMT,EXPR,FUNCTION_PARAM,WHILE_STMT,SINGLE_EXP,FACTOR,FOR_INIT_STMT,JUMP_STMT,IF_STMT,STMT_TERM,DECLARATION_STMT,FUNCTION_STMT,PROGRAM,FUNCTION_DECL,BODY,IF_STMT_TERM,WHILE_BODY,SEMI_COL,RETURN_TYPE
s21,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s72,_,_,_,s71,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s23,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,s73;r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s24,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s74,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s27,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s78,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s79,_,_
s29,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s30,r86,r86,s83;r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,s84;r86,r86,r86,r86,r86,r86,r86,s85;r86,r86,r86,r86,r86,r86,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s32,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s86,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s33,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s36,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,s17;r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s92,_
s37,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s39,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s38,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s41,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s42,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,s17;r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s96,_
s43,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s44,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s99,_,_,_,_,_,s98,_,_,_,_,_,_,_,_,_,_,_,s45,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s97,_,_,_,_,_,_,s49
s47,_,_,_,_,_,s11,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s58,_,_,_,_,_,_,_,_,_,s101,s102,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s49,_,s3,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s106,_,_,_,_,_
s53,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s111,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s55,s1,_,_,_,_,_,_,_,s15,_,_,s19,_,_,_,s91,_,_,_,_,_,_,_,_,_,_,s35,_,_,_,_,_,_,s46,_,_,_,s2,s4,_,_,_,s88,_,s10,_,_,_,_,_,_,_,_,s114,_,_,_,s112,_,_,s89,s37,_,_,_,_,_,_,_,_,_,_,_,_,_
s58,_,_,_,s6,_,_,_,s14,_,_,_,_,s22,s25,s67,s68,_,_,_,_,_,_,s34,_,_,_,_,_,_,s40,_,_,_,s46,s116,s105,_,_,_,_,s5,_,s61,_,_,_,_,_,s115,_,_,s65,s21,_,_,s27,s29,_,_,s33,s62,_,_,s39,s38,s41,s64,_,_,_,_,s47,_,_,_
s57,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s60,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s67,s122,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s120,_,_,_,_,_,_,_,_,_,_,s121,_,_,_,s119,_,_,_,_,_,_,_,_
s69,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s75,s1,_,_,_,_,_,_,_,s15,_,_,s19,_,_,_,s91,_,_,_,_,_,_,_,_,_,_,s35,_,_,_,_,_,_,s46,_,_,_,s2,s4,_,_,_,s88,_,s10,_,_,_,_,_,_,_,_,s129,_,_,_,s112,_,_,s89,s37,_,_,_,_,_,_,_,_,_,_,_,_,_
s77,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,s130;r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,r16;r37,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s76,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,s59;r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s80,s1,_,_,_,_,_,s12,_,s15,_,_,s19,_,_,_,s91,_,s31,_,_,_,_,_,_,_,_,s35,_,_,_,_,_,_,s46,_,_,s50,s2,s4,_,_,_,s88,_,s10,_,_,_,_,_,s134,_,_,s135,_,_,_,s133,_,_,s89,s37,_,_,_,_,_,_,_,_,_,_,_,_,_
s82,s1,_,_,_,_,_,s12,_,s15,_,_,s19,_,_,_,s91,_,s31,_,_,_,_,_,_,_,_,s35,s136,_,_,_,_,_,s46,_,_,s50,s2,s4,_,_,s7,s88,_,s10,_,_,_,_,_,s18,_,_,s23,s137,_,_,s30,_,_,s89,s37,_,_,_,_,_,_,_,_,_,_,_,_,_
s81,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s91,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,s82;r73,r73,r73,r73,r73,r73,r73,s81;r73,r73,r73,r73,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s88,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s90,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s73,_,_,_,_,_,s145,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s87,_,_,s83,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s84,_,_,s144,_,_,_,s85,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s89,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s94,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
